t,energy
5.966153108405841e10,-1.4878034407605473e27
5.9835402158438576e10,-1.4878034210254607e27
6.000927323281874e10,-1.4878033989842905e27
6.0183144307198906e10,-1.487803374389115e27
6.035701538157907e10,-1.4878033468823047e27
6.0530886455959236e10,-1.4878033161616502e27
6.07047575303394e10,-1.4878032824968882e27
6.087862860471957e10,-1.4878032476445367e27
6.105249967909973e10,-1.4878032149741834e27
6.12263707534799e10,-1.487803187423241e27
6.140024182786006e10,-1.4878021757949148e27
6.1574112902240234e10,-1.4877985552668346e27
6.17479839766204e10,-1.487792595691437e27
6.1921855051000565e10,-1.487784659989094e27
6.209572612538073e10,-1.4877751842980917e27
6.2269597199760895e10,-1.4877646557592758e27
6.244346827414106e10,-1.4877535891434487e27
6.2617339348521225e10,-1.4877425032278344e27
6.279121042290139e10,-1.4877318905047502e27
6.2965081497281555e10,-1.4877222102485875e27
6.313895257166172e10,-1.4877138629927908e27
6.3312823646041885e10,-1.4877071747149378e27
6.348669472042205e10,-1.4877023849300616e27
6.3660565794802216e10,-1.48769963904892e27
6.383443686918238e10,-1.4876989852542615e27
6.4008307943562546e10,-1.487698987678351e27
6.418217901794271e10,-1.4876989897379374e27
6.4356050092322876e10,-1.4876989914914713e27
6.452992116670304e10,-1.487698992992343e27
6.4703792241083206e10,-1.4876989942865824e27
6.487766331546337e10,-1.487698995412231e27
6.505153438984354e10,-1.4876989963997684e27
6.52254054642237e10,-1.4876989972730577e27
6.539927653860387e10,-1.487698998050476e27
6.557314761298403e10,-1.4876989987460152e27
6.57470186873642e10,-1.4876989993702612e27
6.592088976174436e10,-1.487698999931233e27
6.609476083612453e10,-1.4876990004350737e27
6.626863191050469e10,-1.4876990008866087e27
6.644250298488486e10,-1.487699001289792e27
6.661637405926502e10,-1.4876985114115918e27
6.679024513364519e10,-1.487696061400797e27
6.696411620802535e10,-1.4876918449972676e27
6.713798728240552e10,-1.487686125751264e27
6.731185835678568e10,-1.4876792227294802e27
6.748572943116585e10,-1.48767149441241e27
6.765960050554601e10,-1.487663321510882e27
6.783347157992618e10,-1.4876550894492516e27
6.800734265430634e10,-1.4876471712586792e27
6.8181213728686516e10,-1.4876399115946508e27
6.835508480306668e10,-1.4876336125369572e27
6.8528955877446846e10,-1.4876285217469235e27
6.870282695182701e10,-1.4876248234467333e27
6.887669802620717e10,-1.4876226325522263e27
6.905056910058734e10,-1.4876219921388937e27
6.92244401749675e10,-1.4876219695602773e27
6.939831124934767e10,-1.4876219474591144e27
6.957218232372783e10,-1.4876219264656997e27
6.9746053398108e10,-1.487621907307308e27
6.991992447248816e10,-1.4876218907730437e27
7.009379554686833e10,-1.487621877663202e27
7.026766662124849e10,-1.4876218687278037e27
7.044153769562866e10,-1.4876218646014786e27
7.061540877000882e10,-1.4876218644676832e27
7.078927984438899e10,-1.4876218643050797e27
7.096315091876915e10,-1.4876218641131308e27
7.113702199314932e10,-1.4876218638916185e27
7.131089306752948e10,-1.487621863640485e27
7.148476414190965e10,-1.48762186335966e27
7.165863521628983e10,-1.4876218630489023e27
7.183250629066998e10,-1.487621693267624e27
7.200637736505016e10,-1.4876200557429272e27
7.218024843943031e10,-1.4876170880500446e27
7.235411951381049e10,-1.48761298092834e27
7.252799058819064e10,-1.487607967779438e27
7.270186166257082e10,-1.4876023127405276e27
7.287573273695097e10,-1.4875962978869726e27
7.304960381133115e10,-1.4875902101344442e27
7.32234748857113e10,-1.4875843284068e27
7.339734596009148e10,-1.4875789116113028e27
7.357121703447163e10,-1.4875741879176497e27
7.37450881088518e10,-1.4875703457718388e27
7.391895918323196e10,-1.487567526991939e27
7.409283025761214e10,-1.4875658221930301e27
7.42667013319923e10,-1.4875652686771498e27
7.444057240637247e10,-1.4875652673638766e27
7.461444348075262e10,-1.487565265370523e27
7.47883145551328e10,-1.4875652605248786e27
7.496218562951295e10,-1.4875652530659957e27
7.513605670389313e10,-1.487565243204898e27
7.530992777827328e10,-1.4875652311143425e27
7.548379885265346e10,-1.487565216918784e27
7.565766992703362e10,-1.4875652006838178e27
7.583154100141379e10,-1.48756518240478e27
7.600541207579395e10,-1.4875651619968964e27
7.617928315017412e10,-1.4875651393006804e27
7.635315422455428e10,-1.4875651141538286e27
7.652702529893445e10,-1.4875650866727333e27
7.67008963733146e10,-1.4875650579429148e27
7.687476744769478e10,-1.4875650306946337e27
7.704863852207494e10,-1.487565008261307e27
7.722250959645511e10,-1.487563924185828e27
7.739638067083527e10,-1.487561839756502e27
7.757025174521544e10,-1.4875588907815082e27
7.77441228195956e10,-1.4875552469917874e27
7.791799389397577e10,-1.4875511031596665e27
7.809186496835594e10,-1.4875466690065415e27
7.82657360427361e10,-1.4875421590509648e27
7.843960711711627e10,-1.4875377828073814e27
7.861347819149643e10,-1.4875337342022924e27
7.87873492658766e10,-1.4875301836018275e27
7.896122034025676e10,-1.4875272749989606e27
7.913509141463693e10,-1.4875251181155363e27
7.930896248901709e10,-1.4875237848295464e27
7.948283356339726e10,-1.4875233074285844e27
7.965670463777742e10,-1.4875233099516569e27
7.98305757121576e10,-1.48752331214261e27
8.000444678653775e10,-1.4875233140369943e27
8.017831786091792e10,-1.4875233156724258e27
8.035218893529808e10,-1.4875233170859598e27
8.052606000967825e10,-1.4875233183120272e27
8.069993108405841e10,-1.4875233193811521e27
8.087380215843858e10,-1.4875233203194262e27
8.104767323281874e10,-1.4875233211485104e27
8.122154430719891e10,-1.4875233218859922e27
8.139541538157907e10,-1.4875233225459028e27
8.156928645595924e10,-1.487523323139281e27
8.17431575303394e10,-1.487523323674724e27
8.191702860471957e10,-1.487523324158892e27
8.209089967909973e10,-1.487523324596944e27
8.22647707534799e10,-1.487523324992919e27
8.243864182786006e10,-1.487522657493959e27
8.261251290224023e10,-1.4875212270804655e27
8.278638397662039e10,-1.4875191317533704e27
8.296025505100056e10,-1.4875164967862265e27
8.313412612538072e10,-1.4875134662580542e27
8.33079971997609e10,-1.4875101959515478e27
8.348186827414105e10,-1.4875068460147125e27
8.365573934852122e10,-1.487503573712478e27
8.382961042290138e10,-1.487500526580652e27
8.400348149728156e10,-1.4874978362678852e27
8.417735257166171e10,-1.4874956133131873e27
8.435122364604189e10,-1.48749394305829e27
8.452509472042206e10,-1.4874928828379265e27
8.469896579480222e10,-1.4874924605292613e27
8.487283686918239e10,-1.4874924442823168e27
8.504670794356255e10,-1.4874924281834808e27
8.522057901794272e10,-1.4874924125450346e27
8.539445009232288e10,-1.4874923977160642e27
8.556832116670305e10,-1.4874923840748957e27
8.57421922410832e10,-1.4874923720160632e27
8.591606331546338e10,-1.4874923619323442e27
8.608993438984354e10,-1.4874923541930314e27
8.626380546422371e10,-1.4874923491203974e27
8.643767653860387e10,-1.4874923469667193e27
8.661154761298404e10,-1.4874923467809357e27
8.67854186873642e10,-1.4874923465659127e27
8.695928976174437e10,-1.487492346321408e27
8.713316083612453e10,-1.487492346047393e27
8.73070319105047e10,-1.487492345743888e27
8.748090298488486e10,-1.487492345410767e27
8.765477405926503e10,-1.4874919557034522e27
8.782864513364519e10,-1.4874909856603985e27
8.800251620802536e10,-1.487489507234518e27
8.817638728240552e10,-1.48748761202515e27
8.835025835678569e10,-1.4874854064408843e27
8.852412943116585e10,-1.487483006403382e27
8.869800050554602e10,-1.4874805318401003e27
8.887187157992618e10,-1.4874781012139703e27
8.904574265430635e10,-1.4874758263278965e27
8.921961372868651e10,-1.4874738076222728e27
8.939348480306668e10,-1.4874721301552377e27
8.956735587744684e10,-1.487470860419397e27
8.974122695182701e10,-1.48747004410675e27
8.991509802620717e10,-1.4874697048875587e27
9.008896910058734e10,-1.4874697035374945e27
9.02628401749675e10,-1.4874697020281333e27
